"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"Road to Perdition",2002,"117.0","Outra","18+","7.7/10","81/100","1931. Mike Sullivan and Connor Rooney are two henchmen of elderly downstate IL-based Irish-American mobster John Rooney, Connor's father. In many respects, John treats Mike more as his son, who he raised as his own after Mike was orphaned, than the volatile Connor, who nonetheless sees himself as the heir apparent to the family business. One evening, Mike's eldest son, twelve year old Michael Sullivan Jr., who has no idea what his father does for a living, witnesses Connor and his father gun down an associate and his men, the situation gone wrong initiated from an action by Connor. Caught witnessing the incident, Michael is sworn to secrecy about what he saw. Regardless, Connor, not wanting any loose ends, makes an attempt to kill Mike, his wife and their two sons. Mike and the surviving members of his family know that they need to go on the run as Connor, who has gone into hiding, will be protected through mob loyalty, especially by John, who cannot turn on his own flesh and blood. Still, Mike has to figure out a way for retribution for what Connor did, while still protecting him and his family, not only from Connor, but from John and his fellow associates. Through it all, Mike wants those in his family that had no say in what he chose as a living, to have some redemption for their eternal souls."
"Boogie Nights",1997,"155.0","Netflix","18+","7.9/10","81/100","A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler."
"Total Recall",1990,"113.0","Netflix","16+","7.5/10","81/100","After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars."
"Bo Burnham: Inside",2021,"87.0","Netflix","18+","8.8/10","81/100","A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year."
"Snowpiercer",2013,"60.0","Netflix","18+","7.1/10","81/100","The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars."
"Circus of Books",2019,"92.0","Netflix",,"7.1/10","81/100","For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times."
"Tallulah",2016,"111.0","Netflix",,"6.7/10","81/100","While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own."
"The Conjuring 2",2016,"134.0","Netflix","18+","7.3/10","81/100","After her daughter unwittingly releases a malevolent spirit in their house in London, a woman enlists the Warrens' help to confront the evil presence."
"They'll Love Me When I'm Dead",2018,"98.0","Outra","18+","7.4/10","81/100",
"Nocturnal Animals",2016,"116.0","Netflix","18+","7.5/10","81/100","Reading her ex-husband's violent novel manuscript destabilizes gallery owner Susan's life, upending her present while digging up their past."
"Get Me Roger Stone",2017,"92.0","Netflix","16+","7.3/10","81/100","Examine the rise, fall and rebirth of political operative Roger Stone, who's been an influential member of Team Trump for decades."
"Hachi: A Dog's Tale",2009,"93.0","Netflix","all","8.1/10","81/100","When his master dies, a loyal pooch named Hachiko keeps a vigil for more than a decade at the train station where he once greeted his owner every day."
"Dances with Wolves",1990,"181.0","Netflix","13+","8.0/10","80/100","On the frontier, a Civil War soldier bonds with a Sioux tribe and adapts to their way of life, becoming their ally amid growing threats."
"Udta Punjab",2016,"148.0","Netflix","18+","7.8/10","80/100","Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a cop, a doctor, a migrant worker and a rock star."
"Bareilly's Barfi",2017,"116.0","Outra",,"7.5/10","80/100",
"Divines",2016,"105.0","Netflix",,"7.4/10","80/100","A shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer."
"Maktub",2017,"100.0","Netflix","7+","7.3/10","80/100","After surviving a bomb attack, two low-level mobsters in Jerusalem change their ways and set about making strangers' Wailing Wall prayers come true."
"Ittefaq",2017,"105.0","Netflix","7+","7.2/10","80/100","A homemaker and a writer are prime suspects – and the only witnesses – in a double murder, and it’s up to one detective to uncover the elusive truth."
"Hannah Gadsby: Nanette",2018,"69.0","Netflix","18+","8.3/10","80/100","Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil."
"Ali Wong: Hard Knock Wife",2018,"64.0","Netflix","18+","7.4/10","80/100","Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump – and a torrent of hilarious truths about marriage and motherhood."
"Seven Pounds",2008,"123.0","Netflix","13+","7.6/10","80/100","Weighed down by a dark secret, IRS agent Ben Thomas tries to improve the lives of seven strangers in need of a second chance."
"Uncut Gems",2019,"135.0","Netflix","18+","7.4/10","80/100","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive."
"The Kindergarten Teacher",2018,"96.0","Netflix","18+","6.7/10","80/100","A devoted teacher takes interest in a young student's creative potential after hearing his poetry. But she soon crosses the line into obsession."
"Les Misérables",2012,"158.0","Netflix","13+","7.6/10","80/100","The musical version of Victor Hugo's epic tale of love and sacrifice, first produced for the stage in 1985, now receives the big-screen treatment."
"The Sky Is Pink",2019,"143.0","Netflix",,"7.6/10","80/100","After succumbing to her terminal illness, a teenager posthumously narrates her parents’ tenacious relationship in this drama based on a true story."
"Next Gen",2018,"106.0","Netflix","7+","6.6/10","80/100","When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
"Tom Segura: Disgraceful",2018,"71.0","Netflix","13+","7.6/10","80/100","Tom Segura gives voice to the sordid thoughts you'd never say out loud, with blunt musings on porn, parking lot power struggles, parenthood and more."
"My Happy Family",2017,"120.0","Netflix",,"7.4/10","80/100","A middle-aged wife and mother of two shocks her traditional, multigenerational Georgian household when she announces she's going to live by herself."
"The American Meme",2018,"98.0","Netflix","18+","6.6/10","80/100","Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires – and face the pitfalls of fame."
"Badla",2019,"118.0","Netflix","7+","7.8/10","80/100","When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes."
"Okko's Inn",2018,"94.0","Netflix","7+","7.1/10","80/100","After losing her parents, a young girl learns about grief and healing from a friendly ghost who lives in her grandmother's traditional Japanese inn."
"The Willoughbys",2020,"90.0","Netflix","7+","6.4/10","80/100","Four siblings with horribly selfish parents hatch a plan to get rid of them for good and form a perfectly imperfect family of their own."
"Hunt for the Wilderpeople",2016,"101.0","Netflix","13+","7.9/10","80/100","A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father."
"Stardust",2007,"127.0","Netflix","13+","7.6/10","79/100","To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form."
"Wheelman",2017,"82.0","Netflix","18+","6.4/10","79/100","The getaway driver in a botched robbery puts his skills and smarts to the test when he receives shocking orders from an unknown caller."
"The Artist",2011,"100.0","Netflix","13+","7.9/10","79/100","Winner of five Oscars, this black-and-white silent film follows the romance between a silent-era legend on a downward spiral and a rising starlet."
"On My Skin",2018,"100.0","Netflix","18+","7.3/10","79/100","Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events."
"Gaga: Five Foot Two",2017,"100.0","Netflix","18+","7.0/10","79/100","Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles."
"Hugo",2011,"126.0","Netflix","7+","7.5/10","79/100","Living inside a Paris train station, an orphan eludes the rigid stationmaster, meets a legendary filmmaker and finds the key to unlocking his destiny."
"The Impossible",2012,"114.0","Netflix","13+","7.6/10","79/100","Tracking one family's harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia."
"War Dogs",2016,"114.0","Netflix","18+","7.1/10","79/100","A massage therapist gets in over his head when he partners with a charismatic childhood pal in the lucrative but shady business of global arms dealing."
